,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,287,52.95,-0.05,-0.0009,45.15,45.15,53.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,50.9,49.26,44.96,39.04,51.25,49.04,45.67,41.4,UPTREND,UPTREND,UPTREND,54.068999999999996,1.2283,0.0879,HIGH,5.4443,49.881,-43.2143,228.0,1318.0,1098.5,11558.45,68514.53,56498.15,White Long Day,Bullish Harami,None,0.3238,-0.0009,0.059000000000000004,0.0,153677.5,163077.5,204357.5,425082.5,2.31,0.4,22.92,0.0,5.04,0.0,2019-10-22
1,290,46.0,0.0,0.0,46.0,46.0,46.0,0.0,70.0,29.2,45.52,38.05,52.95,56.5,51.33,49.66,46.12,39.74,49.9,48.98,46.09,41.91,DOWNTREND,UPTREND,UPTREND,42.583999999999996,0.4268,0.0851,HIGH,-154.7957,10.9195,-89.0805,1983.0,1384.67,1097.0,91885.5,64449.17,51323.95,White Marubozu,Bullish Harami,Three White Soldiers,0.15,0.0,0.0,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,19.91,0.0,4.38,0.0,2019-12-03
2,288,52.95,2.95,0.059000000000000004,52.95,52.95,52.95,0.0,70.0,29.2,47.58,38.05,52.98,56.5,52.08,49.72,45.76,39.48,51.26,49.36,46.1,41.78,SIDEWAYS,UPTREND,UPTREND,54.1098,0.9961,0.0809,HIGH,63.6978,67.9825,-9.1954,399.0,301.33,1095.5,19984.35,15167.9,56691.6,White Marubozu,None,Three White Soldiers,0.3238,0.0183,0.059000000000000004,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.92,0.0,5.04,0.0,2019-11-20
3,290,46.0,0.0,0.0,46.0,46.0,46.0,0.0,70.0,29.2,45.52,38.05,52.95,56.5,50.93,49.72,46.29,39.82,49.52,48.87,46.09,41.95,DOWNTREND,SIDEWAYS,UPTREND,42.583999999999996,0.2015,0.079,HIGH,-133.6782,10.9195,-89.0805,2353.0,1635.33,1253.0,108755.5,75909.03,58314.78,White Marubozu,Bullish Harami,Three White Soldiers,0.15,0.0,0.0,0.0,537.5,163077.5,204357.5,435542.5,2.31,0.4,19.91,0.0,4.38,0.0,2019-12-09
4,285,53.75,-0.05,-0.0009,53.75,53.75,53.75,0.0,70.0,29.05,47.5,38.05,56.5,59.0,48.42,47.88,43.21,38.08,49.52,47.56,44.33,40.36,UPTREND,SIDEWAYS,UPTREND,56.1953,0.5931,0.0875,HIGH,131.2644,69.0533,-25.0597,1893.0,1655.33,1381.5,97852.85,84215.23,69835.93,White Marubozu,None,Three White Soldiers,0.3438,-0.0009,-0.0009,0.0,162540.0,197820.0,206820.0,428845.0,2.31,0.4,23.27,0.0,5.11,0.0,2019-09-06
5,285,53.0,-0.75,-0.013999999999999999,53.0,53.0,53.0,0.0,70.0,29.05,48.28,38.05,53.75,56.5,49.8,48.68,44.25,38.6,50.78,48.49,45.13,40.96,UPTREND,SIDEWAYS,UPTREND,54.6252,1.1816,0.0745,HIGH,78.4623,70.1671,-28.6396,1317.0,1291.33,1263.5,69960.1,66751.07,64298.3,White Marubozu,None,Three White Soldiers,0.325,-0.0149,-0.013000000000000001,537.5,153677.5,163077.5,207357.5,425082.5,2.31,0.4,22.94,0.0,5.04,0.0,2019-10-03
6,290,46.0,0.0,0.0,46.0,46.0,46.0,0.0,70.0,29.2,45.52,38.05,52.95,56.5,51.73,49.6,46.05,39.65,50.31,49.11,46.1,41.87,DOWNTREND,UPTREND,UPTREND,42.583999999999996,0.6485,0.0916,HIGH,-174.9106,37.5479,-89.0805,1637.0,1120.67,1477.0,76214.8,52325.7,73087.45,White Marubozu,Bullish Harami,Three White Soldiers,0.15,0.0,0.0,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,19.91,0.0,4.38,0.0,2019-12-02
7,288,52.95,2.95,0.059000000000000004,52.95,52.95,52.95,0.0,70.0,29.2,47.58,38.05,52.98,56.5,52.08,49.72,45.76,39.48,51.26,49.36,46.1,41.78,SIDEWAYS,UPTREND,UPTREND,54.1098,0.9961,0.0809,HIGH,63.6978,67.9825,-9.1954,399.0,301.33,1095.5,19984.35,15167.9,56691.6,White Marubozu,None,Three White Soldiers,0.3238,0.0183,0.059000000000000004,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.92,0.0,5.04,0.0,2019-11-21
8,290,45.0,0.0,0.0,45.0,45.0,45.0,0.0,70.0,38.05,38.05,36.65,46.0,53.75,49.37,48.98,46.93,40.14,48.03,48.29,46.01,42.07,DOWNTREND,SIDEWAYS,UPTREND,40.898,-0.6457,0.0613,HIGH,-94.7171,0.0,-100.0,3213.0,2288.67,1763.5,146587.2,105023.67,81161.88,White Marubozu,Bullish Harami,Three White Soldiers,0.125,-0.0217,0.0,0.0,0.0,153677.5,204357.5,430432.5,1.29,-0.2753,34.88,0.0,3.69,0.0,2019-12-23
9,285,51.5,0.0,0.0,51.5,51.5,51.5,0.0,70.0,29.05,48.28,38.05,53.8,56.5,49.21,48.25,43.9,38.37,50.2,48.08,44.79,40.71,UPTREND,SIDEWAYS,UPTREND,52.836000000000006,1.0066,0.0844,HIGH,61.3347,67.7009,-35.7995,1792.0,1368.0,1291.0,93398.85,70252.9,65540.18,White Marubozu,Bullish Harami,Three White Soldiers,0.2875,-0.0428,-0.040999999999999995,0.0,162540.0,162540.0,206820.0,417070.0,2.31,0.4,22.29,0.0,4.9,0.0,2019-09-24
10,290,46.0,-6.95,-0.1313,45.15,45.05,46.0,0.0,70.0,29.2,45.52,38.05,52.95,56.5,51.91,49.68,45.9,39.56,50.76,49.23,46.1,41.83,DOWNTREND,UPTREND,UPTREND,42.583999999999996,0.8475,0.0987,HIGH,-210.3222,52.7652,-89.0805,1599.0,1090.0,1692.0,74550.8,50935.7,83808.45,White Long Day,None,Three White Soldiers,0.15,-0.1154,-0.1313,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,19.91,0.0,4.38,0.0,2019-11-29
11,285,53.7,-0.05,-0.0009,53.7,53.7,53.7,0.0,70.0,29.05,47.5,38.05,53.9,56.5,48.66,47.99,43.46,38.18,49.92,47.8,44.52,40.49,UPTREND,SIDEWAYS,UPTREND,56.1216,0.7787,0.0814,HIGH,115.3642,74.9403,-25.2983,1807.0,1624.67,1308.5,93940.65,82825.1,66268.33,White Marubozu,None,Three White Soldiers,0.3425,-0.0019,-0.0009,0.0,162540.0,214020.0,206820.0,428845.0,2.31,0.4,23.25,0.0,5.11,0.0,2019-09-16
12,287,53.0,3.0,0.06,45.15,45.15,53.0,0.0,70.0,29.05,47.52,38.05,53.75,56.5,50.51,49.1,44.77,38.92,51.07,48.88,45.52,41.28,UPTREND,SIDEWAYS,UPTREND,54.1596,1.2294,0.0832,HIGH,11.7541,54.2618,-42.8571,216.0,1303.33,1107.5,10984.65,67744.0,56798.25,White Marubozu,Bullish Engulfing,None,0.325,0.0,0.06,537.5,153677.5,163077.5,204357.5,425082.5,2.31,0.4,22.94,0.0,5.04,0.0,2019-10-16
13,285,53.8,3.8,0.076,53.8,53.8,53.8,0.0,70.0,29.05,47.32,38.05,56.5,59.0,48.21,47.77,42.96,37.99,49.07,47.31,44.14,40.22,UPTREND,SIDEWAYS,UPTREND,56.263999999999996,0.4005,0.0941,HIGH,148.3551,69.292,-24.820999999999998,1969.0,1686.0,1389.5,101437.85,85605.9,70222.93,White Marubozu,None,None,0.345,0.1956,-0.0019,153140.0,162540.0,197820.0,206820.0,428845.0,2.31,0.4,23.29,0.0,5.12,0.0,2019-08-28
14,285,53.0,-0.75,-0.013999999999999999,53.0,53.0,53.0,0.0,70.0,29.05,48.28,38.05,53.75,56.5,49.8,48.68,44.25,38.6,50.78,48.49,45.13,40.96,UPTREND,SIDEWAYS,UPTREND,54.6252,1.1816,0.0745,HIGH,78.4623,70.1671,-28.6396,1317.0,1291.33,1263.5,69960.1,66751.07,64298.3,White Marubozu,None,Three White Soldiers,0.325,-0.0149,-0.013000000000000001,537.5,153677.5,163077.5,207357.5,425082.5,2.31,0.4,22.94,0.0,5.04,0.0,2019-09-30
15,290,45.0,-1.0,-0.0217,45.0,45.0,45.0,0.0,70.0,29.2,38.05,35.62,46.0,53.8,50.68,49.6,46.45,39.9,49.09,48.72,46.07,41.98,DOWNTREND,SIDEWAYS,UPTREND,40.898,-0.0306,0.0766,HIGH,-138.653,7.2797,-100.0,2389.0,1701.33,1302.5,110094.9,78874.7,60539.78,White Marubozu,None,Three White Soldiers,0.125,-0.0217,-0.0217,0.0,537.5,163077.5,204357.5,430432.5,2.31,0.4,19.48,0.0,4.28,0.0,2019-12-10
16,285,53.8,3.8,0.076,53.8,53.8,53.8,0.0,70.0,29.05,47.32,38.05,56.5,59.0,48.21,47.77,42.96,37.99,49.07,47.31,44.14,40.22,UPTREND,SIDEWAYS,UPTREND,56.263999999999996,0.4005,0.0941,HIGH,148.3551,69.292,-24.820999999999998,1969.0,1686.0,1389.5,101437.85,85605.9,70222.93,White Marubozu,None,None,0.345,0.1956,-0.0019,153140.0,162540.0,197820.0,206820.0,428845.0,2.31,0.4,23.29,0.0,5.12,0.0,2019-08-29
17,287,52.0,-0.95,-0.0179,52.0,52.0,52.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,51.15,49.44,45.17,39.15,51.32,49.15,45.8,41.5,UPTREND,UPTREND,UPTREND,52.2792,1.2095,0.0845,HIGH,44.8731,64.1934,-21.3483,226.0,999.33,1059.5,11447.45,52755.87,54650.15,White Marubozu,Bullish Harami,Three White Soldiers,0.3,-0.0189,-0.0179,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.51,0.0,4.95,0.0,2019-11-06
18,290,45.0,0.0,0.0,45.0,45.0,45.0,0.0,70.0,29.2,38.05,36.65,46.0,53.75,50.24,49.43,46.61,39.97,48.7,48.57,46.05,42.01,DOWNTREND,SIDEWAYS,UPTREND,40.898,-0.2548,0.0711,HIGH,-121.0016,0.0,-100.0,3007.0,2132.67,1617.5,137695.1,98267.2,74626.78,White Marubozu,Bullish Harami,Three White Soldiers,0.125,-0.0217,-0.0217,0.0,0.0,163077.5,204357.5,430432.5,2.31,0.4,19.48,0.0,4.28,0.0,2019-12-12
19,285,53.8,3.8,0.076,53.8,53.8,53.8,0.0,70.0,29.05,47.32,38.05,56.5,59.0,48.21,47.77,42.96,37.99,49.07,47.31,44.14,40.22,UPTREND,SIDEWAYS,UPTREND,56.263999999999996,0.4005,0.0941,HIGH,148.3551,69.292,-24.820999999999998,1969.0,1686.0,1389.5,101437.85,85605.9,70222.93,White Marubozu,None,None,0.345,0.1956,-0.0019,153140.0,162540.0,197820.0,206820.0,428845.0,2.31,0.4,23.29,0.0,5.12,0.0,2019-09-04
20,285,53.75,-0.05,-0.0009,53.75,53.75,53.75,0.0,70.0,29.05,47.5,38.05,56.5,59.0,48.42,47.88,43.21,38.08,49.52,47.56,44.33,40.36,UPTREND,SIDEWAYS,UPTREND,56.1953,0.5931,0.0875,HIGH,131.2644,69.0533,-25.0597,1893.0,1655.33,1381.5,97852.85,84215.23,69835.93,White Marubozu,None,Three White Soldiers,0.3438,-0.0009,-0.0009,0.0,162540.0,197820.0,206820.0,428845.0,2.31,0.4,23.27,0.0,5.11,0.0,2019-09-09
21,287,52.95,-0.05,-0.0009,45.15,45.15,53.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,50.9,49.26,44.96,39.04,51.25,49.04,45.67,41.4,UPTREND,UPTREND,UPTREND,54.068999999999996,1.2283,0.0879,HIGH,5.4443,49.881,-43.2143,228.0,1318.0,1098.5,11558.45,68514.53,56498.15,White Long Day,Bullish Harami,None,0.3238,-0.0009,0.059000000000000004,0.0,153677.5,163077.5,204357.5,425082.5,2.31,0.4,22.92,0.0,5.04,0.0,2019-10-18
22,285,53.7,-0.05,-0.0009,53.7,53.7,53.7,0.0,70.0,29.05,47.5,38.05,53.9,56.5,48.66,47.99,43.46,38.18,49.92,47.8,44.52,40.49,UPTREND,SIDEWAYS,UPTREND,56.1216,0.7787,0.0814,HIGH,115.3642,74.9403,-25.2983,1807.0,1624.67,1308.5,93940.65,82825.1,66268.33,White Marubozu,None,Three White Soldiers,0.3425,-0.0019,-0.0009,0.0,162540.0,214020.0,206820.0,428845.0,2.31,0.4,23.25,0.0,5.11,0.0,2019-09-17
23,284,49.4,11.35,0.2983,49.4,49.4,49.4,0.0,70.0,29.05,38.05,36.65,49.5,53.45,47.02,47.49,41.8,37.62,46.94,46.2,43.29,39.6,DOWNTREND,SIDEWAYS,UPTREND,52.6759,-0.2589,0.1001,HIGH,85.0258,0.0,-0.8734,780.0,686.67,832.5,37195.5,32821.67,39032.8,White Marubozu,None,Three White Soldiers,0.235,0.0978,0.2983,9400.0,9400.0,50680.0,53680.0,266675.0,2.31,0.4,21.39,0.0,4.7,0.0,2019-08-15
24,288,50.0,0.0,0.0,48.0,48.0,50.0,0.0,70.0,29.2,47.58,38.05,53.0,56.5,51.33,49.6,45.54,39.36,51.08,49.22,45.96,41.67,UPTREND,UPTREND,UPTREND,48.6297,1.0549,0.0877,HIGH,-42.9064,63.9315,-43.4286,390.0,295.33,1095.5,19506.35,14848.23,56617.1,White Marubozu,Bullish Harami,Three White Soldiers,0.25,-0.0385,-0.0385,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,21.65,0.0,4.76,0.0,2019-11-13
25,285,53.7,-0.05,-0.0009,53.7,53.7,53.7,0.0,70.0,29.05,47.5,38.05,53.9,56.5,48.66,47.99,43.46,38.18,49.92,47.8,44.52,40.49,UPTREND,SIDEWAYS,UPTREND,56.1216,0.7787,0.0814,HIGH,115.3642,74.9403,-25.2983,1807.0,1624.67,1308.5,93940.65,82825.1,66268.33,White Marubozu,None,Three White Soldiers,0.3425,-0.0019,-0.0009,0.0,162540.0,214020.0,206820.0,428845.0,2.31,0.4,23.25,0.0,5.11,0.0,2019-09-13
26,288,52.95,2.95,0.059000000000000004,52.95,52.95,52.95,0.0,70.0,29.2,47.58,38.05,52.98,56.5,52.08,49.72,45.76,39.48,51.26,49.36,46.1,41.78,SIDEWAYS,UPTREND,UPTREND,54.1098,0.9961,0.0809,HIGH,63.6978,67.9825,-9.1954,399.0,301.33,1095.5,19984.35,15167.9,56691.6,White Marubozu,None,Three White Soldiers,0.3238,0.0183,0.059000000000000004,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.92,0.0,5.04,0.0,2019-11-26
27,290,45.0,0.0,0.0,45.0,45.0,45.0,0.0,70.0,29.2,38.05,36.65,46.0,53.75,50.24,49.43,46.61,39.97,48.7,48.57,46.05,42.01,DOWNTREND,SIDEWAYS,UPTREND,40.898,-0.2548,0.0711,HIGH,-121.0016,0.0,-100.0,3007.0,2132.67,1617.5,137695.1,98267.2,74626.78,White Marubozu,Bullish Harami,Three White Soldiers,0.125,-0.0217,-0.0217,0.0,0.0,163077.5,204357.5,430432.5,1.29,-0.2753,562.5,0.0,3.69,0.0,2019-12-17
28,287,52.0,-0.95,-0.0179,52.0,52.0,52.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,51.15,49.44,45.17,39.15,51.32,49.15,45.8,41.5,UPTREND,UPTREND,UPTREND,52.2792,1.2095,0.0845,HIGH,44.8731,64.1934,-21.3483,226.0,999.33,1059.5,11447.45,52755.87,54650.15,White Marubozu,Bullish Harami,Three White Soldiers,0.3,-0.0189,-0.0179,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.51,0.0,4.95,0.0,2019-10-29
29,285,53.0,-0.75,-0.013999999999999999,53.0,53.0,53.0,0.0,70.0,29.05,48.28,38.05,53.75,56.5,49.8,48.68,44.25,38.6,50.78,48.49,45.13,40.96,UPTREND,SIDEWAYS,UPTREND,54.6252,1.1816,0.0745,HIGH,78.4623,70.1671,-28.6396,1317.0,1291.33,1263.5,69960.1,66751.07,64298.3,White Marubozu,None,Three White Soldiers,0.325,-0.0149,-0.013000000000000001,537.5,153677.5,163077.5,207357.5,425082.5,2.31,0.4,22.94,0.0,5.04,0.0,2019-09-26
30,287,52.0,-0.95,-0.0179,52.0,52.0,52.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,51.15,49.44,45.17,39.15,51.32,49.15,45.8,41.5,UPTREND,UPTREND,UPTREND,52.2792,1.2095,0.0845,HIGH,44.8731,64.1934,-21.3483,226.0,999.33,1059.5,11447.45,52755.87,54650.15,White Marubozu,Bullish Harami,Three White Soldiers,0.3,-0.0189,-0.0179,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.51,0.0,4.95,0.0,2019-10-30
31,287,50.0,-2.7,-0.0512,53.0,50.0,53.0,0.0,70.0,29.05,47.52,38.05,53.75,56.5,50.33,48.97,44.57,38.81,50.87,48.71,45.37,41.16,UPTREND,SIDEWAYS,UPTREND,49.4385,1.2305,0.0829,HIGH,27.689,59.001000000000005,-64.2857,153.0,1267.33,1255.5,7874.05,65890.6,64127.95,Black Marubozu,Tweezer Tops,None,0.25,-0.0566,-0.0566,537.5,153677.5,163077.5,204357.5,425082.5,2.31,0.4,21.65,0.0,4.76,0.0,2019-10-10
32,288,52.95,2.95,0.059000000000000004,52.95,52.95,52.95,0.0,70.0,29.2,47.58,38.05,52.98,56.5,52.08,49.72,45.76,39.48,51.26,49.36,46.1,41.78,SIDEWAYS,UPTREND,UPTREND,54.1098,0.9961,0.0809,HIGH,63.6978,67.9825,-9.1954,399.0,301.33,1095.5,19984.35,15167.9,56691.6,White Marubozu,None,Three White Soldiers,0.3238,0.0183,0.059000000000000004,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.92,0.0,5.04,0.0,2019-11-22
33,285,53.75,-0.05,-0.0009,53.75,53.75,53.75,0.0,70.0,29.05,47.5,38.05,56.5,59.0,48.42,47.88,43.21,38.08,49.52,47.56,44.33,40.36,UPTREND,SIDEWAYS,UPTREND,56.1953,0.5931,0.0875,HIGH,131.2644,69.0533,-25.0597,1893.0,1655.33,1381.5,97852.85,84215.23,69835.93,White Marubozu,None,Three White Soldiers,0.3438,-0.0009,-0.0009,0.0,162540.0,197820.0,206820.0,428845.0,2.31,0.4,23.27,0.0,5.11,0.0,2019-09-10
34,287,52.0,-0.95,-0.0179,52.0,52.0,52.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,51.15,49.44,45.17,39.15,51.32,49.15,45.8,41.5,UPTREND,UPTREND,UPTREND,52.2792,1.2095,0.0845,HIGH,44.8731,64.1934,-21.3483,226.0,999.33,1059.5,11447.45,52755.87,54650.15,White Marubozu,Bullish Harami,Three White Soldiers,0.3,-0.0189,-0.0179,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.51,0.0,4.95,0.0,2019-11-04
35,286,53.0,-0.75,-0.013999999999999999,53.0,53.0,53.0,0.0,70.0,29.05,48.28,38.05,53.75,56.5,49.8,48.68,44.25,38.6,50.78,48.49,45.13,40.96,UPTREND,SIDEWAYS,UPTREND,54.6252,1.1816,0.0745,HIGH,78.4623,70.1671,-28.6396,1317.0,1291.33,1263.5,69960.1,66751.07,64298.3,White Marubozu,None,Three White Soldiers,0.325,-0.0149,-0.013000000000000001,537.5,153677.5,163077.5,207357.5,425082.5,2.31,0.4,22.94,0.0,5.04,0.0,2019-10-07
36,288,50.0,0.0,0.0,48.0,48.0,50.0,0.0,70.0,29.2,47.58,38.05,53.0,56.5,51.33,49.6,45.54,39.36,51.08,49.22,45.96,41.67,UPTREND,UPTREND,UPTREND,48.6297,1.0549,0.0877,HIGH,-42.9064,63.9315,-43.4286,390.0,295.33,1095.5,19506.35,14848.23,56617.1,White Marubozu,Bullish Harami,Three White Soldiers,0.25,-0.0385,-0.0385,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,21.65,0.0,4.76,0.0,2019-11-15
37,288,50.0,0.0,0.0,48.0,48.0,50.0,0.0,70.0,29.2,47.58,38.05,53.0,56.5,51.33,49.6,45.54,39.36,51.08,49.22,45.96,41.67,UPTREND,UPTREND,UPTREND,48.6297,1.0549,0.0877,HIGH,-42.9064,63.9315,-43.4286,390.0,295.33,1095.5,19506.35,14848.23,56617.1,White Marubozu,Bullish Harami,Three White Soldiers,0.25,-0.0385,-0.0385,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,21.65,0.0,4.76,0.0,2019-11-14
38,285,53.8,3.8,0.076,53.8,53.8,53.8,0.0,70.0,29.05,47.32,38.05,56.5,59.0,48.21,47.77,42.96,37.99,49.07,47.31,44.14,40.22,UPTREND,SIDEWAYS,UPTREND,56.263999999999996,0.4005,0.0941,HIGH,148.3551,69.292,-24.820999999999998,1969.0,1686.0,1389.5,101437.85,85605.9,70222.93,White Marubozu,None,None,0.345,0.1956,-0.0019,153140.0,162540.0,197820.0,206820.0,428845.0,2.31,0.4,23.29,0.0,5.12,0.0,2019-09-03
39,287,53.0,3.0,0.06,45.15,45.15,53.0,0.0,70.0,29.05,47.52,38.05,53.75,56.5,50.51,49.1,44.77,38.92,51.07,48.88,45.52,41.28,UPTREND,SIDEWAYS,UPTREND,54.1596,1.2294,0.0832,HIGH,11.7541,54.2618,-42.8571,216.0,1303.33,1107.5,10984.65,67744.0,56798.25,White Marubozu,Bullish Engulfing,None,0.325,0.0,0.06,537.5,153677.5,163077.5,204357.5,425082.5,2.31,0.4,22.94,0.0,5.04,0.0,2019-10-15
40,285,53.7,-0.05,-0.0009,53.7,53.7,53.7,0.0,70.0,29.05,47.5,38.05,53.9,56.5,48.66,47.99,43.46,38.18,49.92,47.8,44.52,40.49,UPTREND,SIDEWAYS,UPTREND,56.1216,0.7787,0.0814,HIGH,115.3642,74.9403,-25.2983,1807.0,1624.67,1308.5,93940.65,82825.1,66268.33,White Marubozu,None,Three White Soldiers,0.3425,-0.0019,-0.0009,0.0,162540.0,214020.0,206820.0,428845.0,2.31,0.4,23.25,0.0,5.11,0.0,2019-09-11
41,287,52.0,-0.95,-0.0179,52.0,52.0,52.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,51.15,49.44,45.17,39.15,51.32,49.15,45.8,41.5,UPTREND,UPTREND,UPTREND,52.2792,1.2095,0.0845,HIGH,44.8731,64.1934,-21.3483,226.0,999.33,1059.5,11447.45,52755.87,54650.15,White Marubozu,Bullish Harami,Three White Soldiers,0.3,-0.0189,-0.0179,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.51,0.0,4.95,0.0,2019-10-31
42,287,52.0,-0.95,-0.0179,52.0,52.0,52.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,51.15,49.44,45.17,39.15,51.32,49.15,45.8,41.5,UPTREND,UPTREND,UPTREND,52.2792,1.2095,0.0845,HIGH,44.8731,64.1934,-21.3483,226.0,999.33,1059.5,11447.45,52755.87,54650.15,White Marubozu,Bullish Harami,Three White Soldiers,0.3,-0.0189,-0.0179,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.51,0.0,4.95,0.0,2019-10-25
43,285,53.9,-0.1,-0.0019,50.0,45.0,53.9,0.0,70.0,29.05,38.05,36.65,56.5,64.5,47.56,47.64,42.51,37.84,48.42,46.92,43.83,39.99,UPTREND,SIDEWAYS,UPTREND,57.2887,0.0632,0.0976,HIGH,102.8371,82.9537,-24.3437,2358.0,1692.0,1419.0,120381.85,85815.23,71463.43,None,None,None,0.3475,0.1978,0.0911,153140.0,162540.0,208820.0,206820.0,419815.0,2.31,0.4,23.33,0.0,5.13,0.0,2019-08-22
44,288,52.0,-0.95,-0.0179,52.0,52.0,52.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,51.15,49.44,45.17,39.15,51.32,49.15,45.8,41.5,UPTREND,UPTREND,UPTREND,52.2792,1.2095,0.0845,HIGH,44.8731,64.1934,-21.3483,226.0,999.33,1059.5,11447.45,52755.87,54650.15,White Marubozu,Bullish Harami,Three White Soldiers,0.3,-0.0189,-0.0179,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.51,0.0,4.95,0.0,2019-11-08
45,287,52.0,-0.95,-0.0179,52.0,52.0,52.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,51.15,49.44,45.17,39.15,51.32,49.15,45.8,41.5,UPTREND,UPTREND,UPTREND,52.2792,1.2095,0.0845,HIGH,44.8731,64.1934,-21.3483,226.0,999.33,1059.5,11447.45,52755.87,54650.15,White Marubozu,Bullish Harami,Three White Soldiers,0.3,-0.0189,-0.0179,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.51,0.0,4.95,0.0,2019-10-24
46,285,53.7,-0.05,-0.0009,53.7,53.7,53.7,0.0,70.0,29.05,47.5,38.05,53.9,56.5,48.66,47.99,43.46,38.18,49.92,47.8,44.52,40.49,UPTREND,SIDEWAYS,UPTREND,56.1216,0.7787,0.0814,HIGH,115.3642,74.9403,-25.2983,1807.0,1624.67,1308.5,93940.65,82825.1,66268.33,White Marubozu,None,Three White Soldiers,0.3425,-0.0019,-0.0009,0.0,162540.0,214020.0,206820.0,428845.0,2.31,0.4,23.25,0.0,5.11,0.0,2019-09-18
47,285,53.8,3.8,0.076,53.8,53.8,53.8,0.0,70.0,29.05,47.32,38.05,56.5,59.0,48.21,47.77,42.96,37.99,49.07,47.31,44.14,40.22,UPTREND,SIDEWAYS,UPTREND,56.263999999999996,0.4005,0.0941,HIGH,148.3551,69.292,-24.820999999999998,1969.0,1686.0,1389.5,101437.85,85605.9,70222.93,White Marubozu,None,None,0.345,0.1956,-0.0019,153140.0,162540.0,197820.0,206820.0,428845.0,2.31,0.4,23.29,0.0,5.12,0.0,2019-09-02
48,285,53.7,-0.05,-0.0009,53.7,53.7,53.7,0.0,70.0,29.05,47.5,38.05,53.9,56.5,48.66,47.99,43.46,38.18,49.92,47.8,44.52,40.49,UPTREND,SIDEWAYS,UPTREND,56.1216,0.7787,0.0814,HIGH,115.3642,74.9403,-25.2983,1807.0,1624.67,1308.5,93940.65,82825.1,66268.33,White Marubozu,None,Three White Soldiers,0.3425,-0.0019,-0.0009,0.0,162540.0,214020.0,206820.0,428845.0,2.31,0.4,23.25,0.0,5.11,0.0,2019-09-12
49,288,52.0,-0.95,-0.0179,52.0,52.0,52.0,0.0,70.0,29.05,47.52,38.05,53.0,56.5,51.15,49.44,45.17,39.15,51.32,49.15,45.8,41.5,UPTREND,UPTREND,UPTREND,52.2792,1.2095,0.0845,HIGH,44.8731,64.1934,-21.3483,226.0,999.33,1059.5,11447.45,52755.87,54650.15,White Marubozu,Bullish Harami,Three White Soldiers,0.3,-0.0189,-0.0179,0.0,537.5,163077.5,204357.5,425082.5,2.31,0.4,22.51,0.0,4.95,0.0,2019-11-07
50,287,50.0,-2.7,-0.0512,53.0,50.0,53.0,0.0,70.0,29.05,47.52,38.05,53.75,56.5,50.33,48.97,44.57,38.81,50.87,48.71,45.37,41.16,UPTREND,SIDEWAYS,UPTREND,49.4385,1.2305,0.0829,HIGH,27.689,59.001000000000005,-64.2857,153.0,1267.33,1255.5,7874.05,65890.6,64127.95,Black Marubozu,Tweezer Tops,None,0.25,-0.0566,-0.0566,537.5,153677.5,163077.5,204357.5,425082.5,2.31,0.4,21.65,0.0,4.76,0.0,2019-10-11
