,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,142,0.11,-0.002,-0.0179,0.109,0.109,0.11,0.0,0.159,0.08,0.11,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.12,DOWNTREND,SIDEWAYS,SIDEWAYS,49.9007,-0.001,0.023,LOW,10.3544,61.1111,-50.0,327000.0,460000.0,542500.0,35415.0,49772.0,59233.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1473,0.0,0.0,-19740.0,-104760.0,-66120.0,-805620.0,-1956170.0,0.0,0.0,0.0,0.0,-5.5,0.0,2019-10-22
1,146,0.102,-0.002,-0.0192,0.102,0.102,0.102,0.0,0.159,0.10099999999999999,0.1015,0.0975,0.105,0.11,0.1065,0.1085,0.1112,0.1187,0.1059,0.1082,0.1112,0.1156,DOWNTREND,SIDEWAYS,SIDEWAYS,37.1814,-0.0012,0.0281,LOW,-169.1542,22.2222,-88.8889,844000.0,832666.6667,869000.0,87902.0,87247.3333,91295.0,White Marubozu,None,Three White Soldiers,-0.2093,-0.0097,-0.0097,0.0,0.0,-19740.0,-115960.0,-1932529.9998,0.0,0.0,0.0,0.0,-5.1,0.0,2019-12-03
2,144,0.109,0.004,0.0381,0.105,0.105,0.109,0.0,0.159,0.08800000000000001,0.105,0.0915,0.1095,0.115,0.1084,0.1097,0.1121,0.1195,0.10800000000000001,0.1096,0.1123,0.1165,DOWNTREND,SIDEWAYS,SIDEWAYS,51.8107,-0.0007,0.027000000000000003,LOW,-16.9082,0.0,-20.0,1044000.0,770000.0,605500.0,110624.0,81674.6667,64294.0,White Marubozu,Bullish Engulfing,None,-0.155,-0.0091,0.0283,0.0,0.0,-19740.0,-256410.0,-1951569.9998,0.0,0.0,0.0,0.0,-5.45,0.0,2019-11-20
3,146,0.10400000000000001,0.001,0.0097,0.10400000000000001,0.10400000000000001,0.10400000000000001,0.0,0.159,0.1,0.1,0.095,0.1065,0.11,0.105,0.1076,0.1106,0.1181,0.1046,0.1073,0.1105,0.1151,DOWNTREND,SIDEWAYS,SIDEWAYS,46.1444,-0.0016,0.0242,LOW,-30.5011,0.0,-60.0,785000.0,776666.6667,783000.0,79969.0,80264.0,81488.0,White Marubozu,None,None,-0.1938,0.0097,0.0097,62970.0,62970.0,62970.0,-3150.0,-1892759.9998,0.0,0.0,0.0,0.0,-5.2,0.0,2019-12-09
4,140,0.113,0.001,0.0089,0.11199999999999999,0.11,0.113,-55190.0,0.159,0.08,0.109,0.1055,0.1145,0.1265,0.11199999999999999,0.1146,0.1193,0.121,0.1125,0.1147,0.1177,0.121,SIDEWAYS,SIDEWAYS,DOWNTREND,50.111000000000004,-0.001,0.0429,NEUTRAL,3.5336,19.3548,-80.6452,20339000.0,13718666.6667,10622000.0,2490058.0,1677508.6667,1294967.0,Hammer,None,None,-0.124,0.0089,0.0089,-10220.0,-201190.0,-750400.0,-695270.0,-1883739.9998,0.0,0.0,0.0,0.0,-5.65,0.0,2019-09-06
5,140,0.109,0.001,0.0093,0.10800000000000001,0.10800000000000001,0.11,0.0,0.159,0.08,0.10800000000000001,0.1005,0.114,0.1265,0.1122,0.1124,0.1164,0.1223,0.1116,0.1132,0.1159,0.1195,DOWNTREND,SIDEWAYS,SIDEWAYS,42.9242,-0.0005,0.0308,NEUTRAL,-144.2495,0.0,-90.0,1242000.0,1081333.3333,1160000.0,140276.0,121712.6667,130595.5,None,Tweezer Bottoms,None,-0.155,-0.0091,-0.0354,-85020.0,-203690.0,-236670.0,-762480.0,-1843669.9998,0.0,0.0,0.0,0.0,-5.45,0.0,2019-10-03
6,146,0.10400000000000001,0.001,0.0097,0.10400000000000001,0.10400000000000001,0.10400000000000001,0.0,0.159,0.10099999999999999,0.102,0.095,0.1065,0.11,0.1069,0.1087,0.1113,0.1189,0.1063,0.1085,0.1114,0.1157,DOWNTREND,SIDEWAYS,SIDEWAYS,41.535,-0.0011,0.0282,LOW,-114.8148,25.9259,-66.6667,870000.0,847333.3333,865500.0,90738.0,88878.6667,90968.0,White Marubozu,None,None,-0.1938,0.0097,0.0097,0.0,0.0,-19740.0,-115960.0,-1932529.9998,0.0,0.0,0.0,0.0,-5.2,0.0,2019-12-02
7,144,0.109,0.004,0.0381,0.105,0.105,0.109,0.0,0.159,0.08800000000000001,0.105,0.0915,0.1095,0.115,0.1084,0.1097,0.1121,0.1195,0.10800000000000001,0.1096,0.1123,0.1165,DOWNTREND,SIDEWAYS,SIDEWAYS,51.8107,-0.0007,0.027000000000000003,LOW,-16.9082,0.0,-20.0,1044000.0,770000.0,605500.0,110624.0,81674.6667,64294.0,White Marubozu,Bullish Engulfing,None,-0.155,-0.0091,0.0283,0.0,0.0,-19740.0,-256410.0,-1951569.9998,0.0,0.0,0.0,0.0,-5.45,0.0,2019-11-21
8,146,0.095,-0.002,-0.0206,0.09699999999999999,0.092,0.098,25650.0,0.159,0.092,0.0935,0.0895,0.0975,0.1065,0.1004,0.1052,0.1087,0.1163,0.1001,0.1042,0.1082,0.1134,DOWNTREND,DOWNTREND,SIDEWAYS,34.9763,-0.0024,0.0263,LOW,-149.3868,0.0,-75.0,1284000.0,1052666.6667,1034500.0,126603.0,104174.0,103286.0,None,Bearish Engulfing,None,-0.2636,-0.0777,-0.0206,237690.0,411090.0,411090.0,306330.0,-1260410.0002,0.0,0.0,0.0,0.0,-4.75,0.0,2019-12-23
9,140,0.114,-0.001,-0.0087,0.11599999999999999,0.11199999999999999,0.11599999999999999,0.0,0.159,0.08,0.11,0.1055,0.1165,0.1265,0.1128,0.1135,0.1174,0.1221,0.1128,0.114,0.1167,0.1201,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.2461,-0.0003,0.0337,NEUTRAL,48.4476,55.5556,-44.4444,1372000.0,1355333.3333,10918000.0,156516.0,153116.0,1330277.5,None,None,None,-0.1163,0.0179,0.0088,-12430.0,-11200.0,-467900.0,-643250.0,-1683429.9998,0.0,0.0,0.0,0.0,-5.7,0.0,2019-09-24
10,146,0.10300000000000001,0.0,0.0,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.0,0.159,0.1,0.102,0.0915,0.109,0.1125,0.1072,0.1088,0.1115,0.11900000000000001,0.1065,0.1087,0.1116,0.1159,DOWNTREND,SIDEWAYS,SIDEWAYS,38.1739,-0.001,0.0299,LOW,-175.1991,25.9259,-77.7778,838000.0,1029333.3333,827500.0,87577.0,108109.3333,87026.0,White Marubozu,Bullish Harami,None,-0.2016,-0.0636,-0.055,0.0,0.0,-19740.0,-77560.0,-1932529.9998,0.0,0.0,0.0,0.0,-5.15,0.0,2019-11-29
11,140,0.11199999999999999,-0.003,-0.0261,0.113,0.11199999999999999,0.113,0.0,0.159,0.08,0.1105,0.107,0.11599999999999999,0.1265,0.1123,0.1142,0.1183,0.1217,0.113,0.1145,0.1173,0.1206,UPTREND,SIDEWAYS,SIDEWAYS,47.751000000000005,-0.0003,0.0387,NEUTRAL,7.8431,18.947,-89.6552,1822000.0,13954000.0,10629000.0,202481.0,1704932.6667,1296529.0,Black Marubozu,None,None,-0.1318,0.0,-0.0261,168210.0,-32980.0,-582190.0,-524580.0,-1789259.9998,0.0,0.0,0.0,0.0,-5.6,0.0,2019-09-16
12,142,0.107,0.0,0.0,0.107,0.107,0.107,0.0,0.159,0.08,0.1055,0.0975,0.1115,0.1165,0.1102,0.1115,0.115,0.122,0.1095,0.1117,0.1146,0.1185,DOWNTREND,SIDEWAYS,SIDEWAYS,40.1437,-0.0011,0.0235,LOW,-111.8494,0.0,-100.0,407000.0,633333.3333,874000.0,43788.0,69119.3333,97551.0,White Marubozu,Bullish Harami,None,-0.1705,-0.0273,-0.0093,0.0,-85020.0,-96220.0,-785880.0,-1875669.9998,0.0,0.0,0.0,0.0,-5.35,0.0,2019-10-16
13,140,0.111,-0.003,-0.0263,0.109,0.109,0.111,0.0,0.159,0.08,0.107,0.0975,0.1145,0.121,0.1124,0.1155,0.1206,0.1208,0.1124,0.1154,0.1185,0.1216,DOWNTREND,SIDEWAYS,DOWNTREND,46.1236,-0.0016,0.0303,NEUTRAL,-62.8931,0.0,-50.0,991000.0,763333.3333,892500.0,108943.0,84262.6667,99088.5,White Marubozu,None,None,-0.1395,-0.0177,0.0374,0.0,-316250.0,-549210.0,-515010.0,-1004739.9998,0.0,0.0,0.0,0.0,-5.55,0.0,2019-08-28
14,140,0.11,-0.003,-0.0265,0.111,0.11,0.111,0.0,0.159,0.08,0.11,0.11,0.12,0.13,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.12,DOWNTREND,SIDEWAYS,SIDEWAYS,44.0993,-0.0002,0.0329,NEUTRAL,-117.8161,25.9259,-100.0,1294000.0,1293333.33,1558000.0,146329.0,146209.33,174405.0,Black Marubozu,None,None,-0.1473,-0.0179,-0.0265,0.0,49540.0,-151650.0,-677460.0,-1697150.0,0.0,0.0,0.0,0.0,-5.5,0.0,2019-09-30
15,146,0.1,-0.004,-0.0385,0.10400000000000001,0.1,0.10400000000000001,0.0,0.159,0.1,0.1,0.09,0.1,0.11,0.1,0.11,0.11,0.12,0.1,0.11,0.11,0.11,DOWNTREND,SIDEWAYS,SIDEWAYS,37.8421,-0.0017,0.0263,LOW,-105.0667,23.3333,-100.0,985000.0,914000.0,888000.0,100150.0,94065.33,92033.5,Black Marubozu,Bearish Engulfing,None,-0.2248,-0.0291,-0.0291,62970.0,62970.0,62970.0,-3150.0,-1892760.0,0.0,0.0,0.0,0.0,-5.0,0.0,2019-12-10
16,140,0.115,0.004,0.036000000000000004,0.113,0.109,0.138,-262460.0,0.159,0.08,0.107,0.1005,0.1265,0.1305,0.1125,0.1154,0.1205,0.1208,0.1126,0.1153,0.1184,0.1216,DOWNTREND,SIDEWAYS,DOWNTREND,53.0226,-0.0015,0.0452,NEUTRAL,259.1432,48.6022,-74.1935,17110000.0,11744000.0,9134500.0,2128851.0,1456757.3333,1129243.0,None,None,None,-0.1085,0.0177,0.0748,-262460.0,-578710.0,-811670.0,-777470.0,-1536979.9998,0.0,0.0,0.0,0.0,-5.75,0.0,2019-08-29
17,143,0.109,0.0,0.0,0.106,0.105,0.11,0.0,0.159,0.08,0.107,0.095,0.11,0.114,0.1091,0.1107,0.1132,0.1207,0.1095,0.1107,0.1134,0.1173,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.042,-0.0004,0.0253,LOW,-63.3484,57.9365,-42.8571,505000.0,430000.0,416000.0,53485.0,45835.3333,44450.0,None,None,None,-0.155,-0.0091,-0.0091,0.0,-19740.0,-104760.0,-572660.0,-1951569.9998,0.0,0.0,0.0,0.0,-5.45,0.0,2019-11-06
18,146,0.099,-0.003,-0.0294,0.1,0.099,0.102,109450.0,0.159,0.099,0.0915,0.0855,0.10400000000000001,0.1095,0.10400000000000001,0.1069,0.11,0.1176,0.1035,0.1065,0.1099,0.1146,DOWNTREND,SIDEWAYS,SIDEWAYS,37.9216,-0.0018,0.0264,LOW,-123.7219,0.0,-100.0,1070000.0,1094000.0,987500.0,107704.0,111254.0,101212.0,Shooting Star,Tweezer Tops,None,-0.2326,-0.0388,-0.0388,109450.0,172420.0,172420.0,-51010.0,-1315770.0,0.0,0.0,0.0,0.0,-4.95,0.0,2019-12-12
19,140,0.114,0.005,0.0459,0.11,0.109,0.114,0.0,0.159,0.08,0.109,0.1055,0.1265,0.1305,0.1123,0.1148,0.1197,0.121,0.1125,0.1149,0.1179,0.1212,DOWNTREND,SIDEWAYS,DOWNTREND,51.4646,-0.0011,0.0451,NEUTRAL,4.6912,17.2043,-77.4194,20275000.0,13961333.3333,10548000.0,2482573.0,1704090.0,1286793.0,White Long Day,Tweezer Bottoms,None,-0.1163,0.0179,0.0179,-140450.0,-456700.0,-689660.0,-634530.0,-1764399.9998,0.0,0.0,0.0,0.0,-5.7,0.0,2019-09-04
20,140,0.114,0.001,0.0088,0.114,0.11,0.114,0.0,0.159,0.08,0.109,0.1055,0.1265,0.1305,0.11199999999999999,0.1145,0.1192,0.1211,0.1126,0.1147,0.1176,0.121,UPTREND,SIDEWAYS,DOWNTREND,51.6105,-0.0009,0.042,NEUTRAL,28.6738,19.3548,-77.4194,20285000.0,13741333.3333,10634500.0,2484414.0,1680048.6667,1296362.5,Dragonfly Doji,None,None,-0.1163,0.0179,0.0088,-22340.0,-201190.0,-750400.0,-695270.0,-1890289.9998,0.0,0.0,0.0,0.0,-5.7,0.0,2019-09-09
21,142,0.11,0.003,0.027999999999999997,0.107,0.107,0.11,-19740.0,0.159,0.08,0.11,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.12,DOWNTREND,SIDEWAYS,SIDEWAYS,50.3461,-0.0012,0.0216,LOW,-30.881,0.0,-50.0,445000.0,609333.33,566500.0,48009.0,66352.0,62047.5,White Marubozu,None,Three White Soldiers,-0.1473,0.0,0.0185,-19740.0,-104760.0,-55220.0,-805620.0,-1899970.0,0.0,0.0,0.0,0.0,-5.5,0.0,2019-10-18
22,140,0.11,-0.002,-0.0179,0.11199999999999999,0.11,0.11199999999999999,-106240.0,0.159,0.08,0.11,0.11,0.12,0.13,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.12,UPTREND,SIDEWAYS,SIDEWAYS,44.388999999999996,-0.0003,0.0379,NEUTRAL,-52.8302,11.4943,-96.5517,1192000.0,13996666.67,10648500.0,133542.0,1709615.33,1298695.0,Black Marubozu,None,None,-0.1473,-0.0179,-0.0435,51070.0,-139220.0,-455470.0,-630820.0,-1908500.0,0.0,0.0,0.0,0.0,-5.5,0.0,2019-09-17
23,140,0.113,0.004,0.0367,0.113,0.113,0.113,0.0,0.159,0.08,0.109,0.1055,0.115,0.121,0.1141,0.11699999999999999,0.1218,0.1207,0.114,0.1169,0.1196,0.1224,DOWNTREND,SIDEWAYS,DOWNTREND,45.9076,-0.0014,0.0252,LOW,-32.7869,0.0,-50.0,1158000.0,1151333.3333,1670500.0,128947.0,128732.6667,189622.5,White Marubozu,None,Morning Star,-0.124,0.0,-0.0174,-316250.0,-549210.0,-525810.0,-564560.0,-729519.9998,0.0,0.0,0.0,0.0,-5.65,0.0,2019-08-15
24,143,0.109,0.002,0.0187,0.107,0.107,0.109,0.0,0.159,0.08800000000000001,0.1055,0.095,0.11,0.114,0.1089,0.1103,0.1126,0.1199,0.1087,0.1102,0.1128,0.1169,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.8404,-0.0005,0.0252,LOW,7.3260000000000005,53.3333,-20.0,861000.0,604000.0,523000.0,91198.0,64043.3333,55666.5,White Marubozu,None,None,-0.155,-0.0091,0.0283,0.0,0.0,-104760.0,-256410.0,-1951569.9998,0.0,0.0,0.0,0.0,-5.45,0.0,2019-11-13
25,140,0.115,0.0,0.0,0.113,0.113,0.115,0.0,0.159,0.08,0.111,0.107,0.11599999999999999,0.1265,0.1124,0.1143,0.1185,0.1216,0.1131,0.1146,0.1174,0.1207,UPTREND,SIDEWAYS,SIDEWAYS,53.3825,-0.0004,0.0386,NEUTRAL,83.3333,21.9503,-79.3103,2706000.0,13998666.6667,10618500.0,301033.0,1709655.3333,1295344.0,White Marubozu,Bullish Harami,None,-0.1085,0.0268,0.0177,168210.0,-32980.0,-582190.0,-524580.0,-1756509.9998,0.0,0.0,0.0,0.0,-5.75,0.0,2019-09-13
26,144,0.10300000000000001,-0.006,-0.055,0.10300000000000001,0.10300000000000001,0.109,0.0,0.159,0.09699999999999999,0.0975,0.0915,0.1095,0.114,0.10800000000000001,0.1095,0.1119,0.1193,0.1076,0.1093,0.1121,0.1162,DOWNTREND,SIDEWAYS,SIDEWAYS,37.1196,-0.0008,0.032,NEUTRAL,-178.1609,54.4444,-100.0,791000.0,853333.3333,664000.0,83917.0,90424.0,70403.0,Gravestone Doji,None,None,-0.2016,-0.0636,-0.055,0.0,0.0,-19740.0,-256410.0,-1951569.9998,0.0,0.0,0.0,0.0,-5.15,0.0,2019-11-26
27,146,0.09699999999999999,-0.001,-0.0102,0.098,0.09699999999999999,0.098,193040.0,0.159,0.09699999999999999,0.0915,0.0855,0.102,0.1095,0.1026,0.1062,0.1094,0.11699999999999999,0.1021,0.1056,0.1093,0.1142,DOWNTREND,DOWNTREND,SIDEWAYS,35.5335,-0.002,0.0243,LOW,-150.5828,0.0,-100.0,1232000.0,1126666.6667,1038000.0,122787.0,113160.6667,105344.5,Black Marubozu,Bearish Engulfing,None,-0.2481,-0.0583,-0.03,303470.0,366440.0,366440.0,249250.0,-1537020.0003,0.0,0.0,0.0,0.0,-4.85,0.0,2019-12-17
28,143,0.11,0.0,0.0,0.10800000000000001,0.10800000000000001,0.11,0.0,0.159,0.08,0.11,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.12,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.8673,-0.0007,0.02,LOW,53.1697,38.8889,-50.0,185000.0,248000.0,367500.0,20135.0,26854.67,39762.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1473,0.0,0.0185,0.0,-19740.0,-117190.0,-572660.0,-1956170.0,0.0,0.0,0.0,0.0,-5.5,0.0,2019-10-29
29,140,0.11199999999999999,0.0,0.0,0.111,0.111,0.11199999999999999,0.0,0.159,0.08,0.1115,0.107,0.1165,0.1265,0.1127,0.1132,0.1171,0.1223,0.1127,0.1139,0.1165,0.12,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.0915,-0.0002,0.0326,NEUTRAL,-50.4115,40.7407,-66.6667,1072000.0,1180000.0,2651000.0,122013.0,133756.6667,297371.5,White Marubozu,None,None,-0.1318,0.0,-0.0088,-12430.0,-5650.0,-157100.0,-678650.0,-1695929.9998,0.0,0.0,0.0,0.0,-5.6,0.0,2019-09-26
30,143,0.11,0.0,0.0,0.107,0.106,0.11,0.0,0.159,0.08,0.11,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.12,UPTREND,SIDEWAYS,SIDEWAYS,50.8673,-0.0007,0.0212,LOW,-1.3633,52.381,-42.8571,181000.0,248666.67,294000.0,19707.0,26904.0,31747.5,White Long Day,None,Three White Soldiers,-0.1473,0.0,0.0185,0.0,-19740.0,-117190.0,-572660.0,-1951570.0,0.0,0.0,0.0,0.0,-5.5,0.0,2019-10-30
31,142,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.159,0.08,0.11,0.1,0.11,0.13,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.12,DOWNTREND,SIDEWAYS,SIDEWAYS,46.9784,-0.0009,0.0248,LOW,-41.8562,29.2929,-66.6667,750000.0,961333.33,911000.0,82102.0,107881.33,102057.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1473,0.0,0.0092,0.0,-97450.0,25790.0,-785880.0,-1864070.0,0.0,0.0,0.0,0.0,-5.5,0.0,2019-10-10
32,144,0.109,0.0,0.0,0.105,0.10400000000000001,0.109,0.0,0.159,0.08800000000000001,0.1045,0.095,0.1095,0.114,0.1083,0.1097,0.1121,0.1194,0.1081,0.1096,0.1123,0.1164,DOWNTREND,SIDEWAYS,SIDEWAYS,51.8107,-0.0007,0.0283,LOW,-34.4168,0.0,-16.6667,781000.0,827333.3333,643000.0,83007.0,87750.0,68246.0,White Long Day,None,None,-0.155,-0.0091,0.0283,0.0,0.0,-19740.0,-256410.0,-1951569.9998,0.0,0.0,0.0,0.0,-5.45,0.0,2019-11-22
33,140,0.113,-0.001,-0.0088,0.113,0.109,0.113,10900.0,0.159,0.08,0.1105,0.107,0.114,0.1265,0.1119,0.1144,0.11900000000000001,0.1213,0.1127,0.1146,0.1176,0.1209,UPTREND,SIDEWAYS,SIDEWAYS,49.9923,-0.0008,0.0425,NEUTRAL,-3.7244,20.4301,-80.6452,20464000.0,13844000.0,10712000.0,2504039.0,1691337.3333,1304839.0,Dragonfly Doji,None,None,-0.124,0.0089,0.0,-49840.0,-190290.0,-739500.0,-684370.0,-1892389.9998,0.0,0.0,0.0,0.0,-5.65,0.0,2019-09-10
34,143,0.11,0.0,0.0,0.106,0.106,0.11,0.0,0.159,0.08,0.11,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.12,UPTREND,SIDEWAYS,SIDEWAYS,50.8673,-0.0005,0.0233,LOW,-1.4184,60.3175,-33.3333,153000.0,254000.0,299000.0,16474.0,27402.67,32241.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1473,0.0,0.0,0.0,-19740.0,-104760.0,-572660.0,-1951570.0,0.0,0.0,0.0,0.0,-5.5,0.0,2019-11-04
35,141,0.107,-0.002,-0.0183,0.107,0.107,0.10800000000000001,0.0,0.159,0.08,0.1055,0.102,0.1115,0.1165,0.1116,0.1122,0.1161,0.1222,0.1109,0.1128,0.1156,0.1193,DOWNTREND,SIDEWAYS,SIDEWAYS,38.8512,-0.0007,0.0297,LOW,-161.6541,9.3939,-100.0,703000.0,1072666.6667,1127500.0,77340.0,120394.6667,126788.5,Gravestone Doji,None,None,-0.1705,-0.0273,-0.0183,-85020.0,-203690.0,-236670.0,-785880.0,-1864069.9998,0.0,0.0,0.0,0.0,-5.35,0.0,2019-10-07
36,143,0.106,0.0,0.0,0.105,0.105,0.11,0.0,0.159,0.08800000000000001,0.1055,0.1005,0.1095,0.114,0.1088,0.11,0.1124,0.1197,0.1082,0.1098,0.1126,0.1166,DOWNTREND,SIDEWAYS,SIDEWAYS,40.3793,-0.0006,0.0276,LOW,-87.3728,40.0,-80.0,1028000.0,715333.3333,603000.0,108993.0,75891.3333,64192.0,Inverted Hammer,None,None,-0.1783,-0.0364,0.0,0.0,0.0,-19740.0,-256410.0,-1951569.9998,0.0,0.0,0.0,0.0,-5.3,0.0,2019-11-15
37,143,0.106,-0.003,-0.0275,0.106,0.106,0.10800000000000001,0.0,0.159,0.08800000000000001,0.1055,0.0975,0.109,0.1125,0.1088,0.1101,0.1125,0.1198,0.1085,0.11,0.1127,0.1168,DOWNTREND,SIDEWAYS,SIDEWAYS,40.3793,-0.0006,0.0261,LOW,-111.3106,46.6667,-80.0,894000.0,628000.0,537500.0,94688.0,66572.0,57197.5,Gravestone Doji,None,None,-0.1783,-0.0364,0.0,0.0,0.0,-19740.0,-256410.0,-1951569.9998,0.0,0.0,0.0,0.0,-5.3,0.0,2019-11-14
38,140,0.109,-0.005,-0.0439,0.11199999999999999,0.109,0.11199999999999999,38400.0,0.159,0.08,0.107,0.095,0.1265,0.1305,0.1124,0.1149,0.1199,0.1209,0.1123,0.1149,0.11800000000000001,0.1213,DOWNTREND,SIDEWAYS,DOWNTREND,43.8793,-0.0012,0.0473,NEUTRAL,-68.5544,15.0538,-93.5484,20105000.0,13842000.0,10503000.0,2463848.0,1691013.3333,1281959.5,Black Marubozu,None,None,-0.155,-0.0268,-0.0268,-140450.0,-456700.0,-689660.0,-634530.0,-1682199.9998,0.0,0.0,0.0,0.0,-5.45,0.0,2019-09-03
39,142,0.107,0.0,0.0,0.107,0.107,0.107,0.0,0.159,0.08,0.1055,0.095,0.1115,0.1165,0.1103,0.1117,0.1151,0.1222,0.1098,0.1119,0.1148,0.1186,DOWNTREND,SIDEWAYS,SIDEWAYS,40.1437,-0.001,0.0253,LOW,-124.2638,0.0,-100.0,550000.0,630000.0,893000.0,59390.0,68798.6667,99665.0,White Marubozu,Bullish Harami,None,-0.1705,-0.0273,-0.0093,0.0,-85020.0,-96220.0,-785880.0,-1875669.9998,0.0,0.0,0.0,0.0,-5.35,0.0,2019-10-15
40,140,0.113,0.0,0.0,0.11,0.11,0.113,0.0,0.159,0.08,0.1105,0.107,0.114,0.1265,0.1118,0.1144,0.1188,0.1214,0.1127,0.1145,0.1175,0.1208,UPTREND,SIDEWAYS,SIDEWAYS,49.9923,-0.0007,0.0414,NEUTRAL,12.3097,20.4301,-80.6452,20408000.0,13821333.3333,10699500.0,2497890.0,1688847.3333,1303416.5,White Marubozu,None,None,-0.124,0.0089,0.0,-49840.0,-190290.0,-739500.0,-684370.0,-1892389.9998,0.0,0.0,0.0,0.0,-5.65,0.0,2019-09-11
41,143,0.11,0.0,0.0,0.106,0.106,0.11,0.0,0.159,0.08,0.11,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.12,UPTREND,SIDEWAYS,SIDEWAYS,50.8673,-0.0006,0.0222,LOW,0.0,54.7619,-42.8571,178000.0,240666.67,280500.0,19391.0,26013.33,30283.0,White Marubozu,None,Three White Soldiers,-0.1473,0.0,0.0185,0.0,-19740.0,-117190.0,-572660.0,-1951570.0,0.0,0.0,0.0,0.0,-5.5,0.0,2019-10-31
42,143,0.10800000000000001,0.0,0.0,0.10800000000000001,0.10800000000000001,0.10800000000000001,0.0,0.159,0.08,0.107,0.102,0.11199999999999999,0.1155,0.1088,0.1109,0.1141,0.1214,0.1093,0.1111,0.1139,0.1179,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.6533,-0.0009,0.0199,LOW,-58.4795,22.2222,-83.3333,286000.0,335333.3333,486000.0,30932.0,36207.3333,52915.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1628,-0.0182,-0.0182,0.0,-19740.0,-223430.0,-805620.0,-1956169.9998,0.0,0.0,0.0,0.0,-5.4,0.0,2019-10-25
43,140,0.109,-0.002,-0.018000000000000002,0.109,0.109,0.111,0.0,0.159,0.08,0.1085,0.102,0.113,0.1165,0.1128,0.1161,0.1211,0.1207,0.1129,0.1159,0.11900000000000001,0.122,DOWNTREND,SIDEWAYS,DOWNTREND,38.8181,-0.0015,0.027000000000000003,LOW,-127.8539,22.2222,-88.8889,905000.0,1024666.6667,1140000.0,99876.0,113920.0,127552.0,Gravestone Doji,Bullish Harami,None,-0.155,-0.0354,-0.0354,0.0,-549210.0,-525810.0,-526080.0,-825639.9998,0.0,0.0,0.0,0.0,-5.45,0.0,2019-08-22
44,143,0.106,-0.003,-0.0275,0.106,0.105,0.109,0.0,0.159,0.08,0.1055,0.1005,0.11,0.114,0.1088,0.1105,0.113,0.1204,0.1091,0.1105,0.1131,0.1171,SIDEWAYS,SIDEWAYS,SIDEWAYS,36.7008,-0.0004,0.0277,LOW,-145.8333,42.8571,-85.7143,714000.0,564666.6667,515000.0,75657.0,60136.0,54916.5,Doji,Bullish Harami,None,-0.1783,-0.0364,-0.0364,0.0,-19740.0,-104760.0,-261860.0,-1951569.9998,0.0,0.0,0.0,0.0,-5.3,0.0,2019-11-08
45,143,0.10800000000000001,-0.001,-0.0092,0.10800000000000001,0.10800000000000001,0.10800000000000001,0.0,0.159,0.08,0.1075,0.1005,0.11199999999999999,0.1165,0.1091,0.1109,0.1142,0.1215,0.1094,0.1112,0.114,0.11800000000000001,DOWNTREND,SIDEWAYS,SIDEWAYS,44.6533,-0.0009,0.0215,LOW,-65.1629,33.3333,-83.3333,316000.0,344000.0,533000.0,34176.0,37148.0,58139.0,White Marubozu,None,Three White Soldiers,-0.1628,-0.0182,-0.0182,-19740.0,-19740.0,-223430.0,-805620.0,-1956169.9998,0.0,0.0,0.0,0.0,-5.4,0.0,2019-10-24
