,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,181,2.78,-0.01,-0.0036,2.51,2.51,2.78,0.0,3.22,2.17,2.47,2.27,2.79,3.16,2.56,2.7,2.8,2.88,2.62,2.67,2.76,2.89,UPTREND,DOWNTREND,SIDEWAYS,54.138000000000005,-0.0257,0.0665,HIGH,61.6222,54.386,-46.3158,892300.0,602133.33,452550.0,2126117.0,1436444.0,1079649.0,White Marubozu,None,Three White Soldiers,0.0183,-0.1003,-0.0036,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,139.0,0.0,1.26,0.0,2019-10-22
1,185,2.5,0.0,0.0,2.5,2.5,2.5,0.0,3.22,2.17,2.3,2.17,2.57,3.16,2.6,2.64,2.77,2.86,2.59,2.65,2.74,2.87,UPTREND,SIDEWAYS,DOWNTREND,46.1208,-0.0087,0.0508,HIGH,-43.1021,23.1689,-82.7586,14800.0,23200.0,456100.0,37889.0,58324.67,1088967.5,White Marubozu,Tweezer Bottoms,None,-0.0842,0.0,0.0,0.0,3220.0,3220.0,3220.0,3290.0,0.06,5.0,41.67,0.0,1.26,0.0,2019-12-03
2,183,2.56,-0.01,-0.0039,2.57,2.56,2.57,0.0,3.22,2.17,2.47,2.27,2.78,3.16,2.6,2.66,2.78,2.87,2.61,2.66,2.75,2.88,UPTREND,SIDEWAYS,DOWNTREND,48.0073,-0.0045,0.0558,HIGH,-11.6009,30.8772,-69.4737,12700.0,599266.67,454900.0,32448.0,1428794.67,1085870.5,Black Marubozu,Bearish Engulfing,None,-0.0623,-0.0791,-0.0039,0.0,3220.0,3220.0,3220.0,3290.0,0.06,5.0,42.67,0.0,1.29,0.0,2019-11-20
3,185,2.46,-0.04,-0.016,2.49,2.46,2.49,0.0,3.22,2.17,2.4,2.27,2.57,3.16,2.59,2.64,2.77,2.86,2.58,2.64,2.73,2.87,UPTREND,SIDEWAYS,DOWNTREND,44.7609,-0.0124,0.0491,NEUTRAL,-52.8648,21.3268,-75.0,17100.0,25066.67,457600.0,43423.0,63004.67,1092633.5,Black Marubozu,None,None,-0.0989,-0.016,-0.016,0.0,3220.0,3220.0,3220.0,3290.0,0.06,5.0,41.0,0.0,1.24,0.0,2019-12-09
4,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-06
5,179,3.09,0.79,0.3435,3.22,3.09,3.22,3220.0,3.22,1.56,2.27,2.17,3.16,3.8,2.54,2.69,2.81,2.88,2.59,2.68,2.78,2.91,UPTREND,DOWNTREND,DOWNTREND,62.7514,-0.0652,0.0528,HIGH,227.1273,37.2175,-13.6842,882300.0,589200.0,442600.0,2102627.0,1404172.67,1054974.5,Black Marubozu,None,None,0.1319,0.3612,0.3435,3220.0,3220.0,3220.0,3220.0,-17710.0,0.02,-0.5,154.5,0.0,1.4,0.0,2019-10-03
6,185,2.5,0.0,0.0,2.5,2.5,2.5,0.0,3.22,2.17,2.3,2.17,2.57,3.16,2.6,2.64,2.77,2.86,2.59,2.65,2.74,2.87,UPTREND,SIDEWAYS,DOWNTREND,46.1208,-0.0087,0.0508,HIGH,-43.1021,23.1689,-82.7586,14800.0,23200.0,456100.0,37889.0,58324.67,1088967.5,White Marubozu,Tweezer Bottoms,None,-0.0842,0.0,0.0,0.0,3220.0,3220.0,3220.0,3290.0,0.06,5.0,41.67,0.0,1.26,0.0,2019-12-02
7,183,2.5,-0.06,-0.0234,2.56,2.5,2.56,0.0,3.22,2.17,2.48,2.27,2.57,3.16,2.6,2.65,2.78,2.87,2.6,2.65,2.74,2.88,UPTREND,SIDEWAYS,DOWNTREND,46.1208,-0.006,0.0547,HIGH,-33.0048,27.9481,-78.2609,14300.0,22266.67,455400.0,36621.0,55976.0,1087216.5,Black Marubozu,None,None,-0.0842,-0.1007,-0.0272,0.0,3220.0,3220.0,3220.0,3290.0,0.06,5.0,41.67,0.0,1.26,0.0,2019-11-21
8,185,2.48,0.0,0.0,2.48,2.48,2.48,0.0,3.22,2.17,2.4,2.27,2.62,3.16,2.6,2.61,2.75,2.85,2.55,2.62,2.71,2.85,DOWNTREND,SIDEWAYS,DOWNTREND,46.2956,-0.0248,0.05,NEUTRAL,-62.7907,30.8333,-77.5,38900.0,29133.33,32100.0,96132.0,72390.67,79835.0,White Marubozu,Bullish Harami,None,-0.0916,-0.008,0.0333,-2460.0,-2460.0,760.0,760.0,5200.0,0.06,5.0,41.33,0.0,1.25,0.0,2019-12-23
9,179,2.3,0.03,0.0132,2.3,2.3,2.3,0.0,3.0,1.56,2.27,2.17,2.71,2.93,2.53,2.69,2.81,2.88,2.53,2.66,2.77,2.91,DOWNTREND,DOWNTREND,DOWNTREND,39.0766,-0.0737,0.0456,NEUTRAL,-95.5822,21.4085,-93.1818,882200.0,589133.33,442750.0,2102244.0,1403896.67,1055391.5,White Marubozu,None,Three White Soldiers,-0.1575,0.0132,0.0132,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,115.0,0.0,1.05,0.0,2019-09-24
10,185,2.5,-0.06,-0.0234,2.56,2.5,2.56,0.0,3.22,2.17,2.48,2.27,2.57,3.16,2.6,2.65,2.78,2.87,2.6,2.65,2.74,2.88,UPTREND,SIDEWAYS,DOWNTREND,46.1208,-0.006,0.0547,HIGH,-33.0048,27.9481,-78.2609,14300.0,22266.67,455400.0,36621.0,55976.0,1087216.5,Black Marubozu,None,None,-0.0842,-0.1007,-0.0272,0.0,3220.0,3220.0,3220.0,3290.0,0.06,5.0,41.67,0.0,1.26,0.0,2019-11-29
11,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-16
12,181,2.48,-0.05,-0.0198,2.53,2.46,2.53,0.0,3.22,2.17,2.27,2.17,3.16,3.8,2.51,2.67,2.81,2.88,2.57,2.66,2.77,2.9,UPTREND,DOWNTREND,DOWNTREND,47.3532,-0.0543,0.0785,HIGH,-9.5596,45.2632,-77.8947,896500.0,600600.0,451500.0,2137812.0,1432480.0,1076978.5,Black Long Day,Bearish Harami,None,-0.0916,-0.1974,-0.1974,3220.0,3220.0,3220.0,3220.0,-17710.0,0.02,-0.5,124.0,0.0,1.13,0.0,2019-10-16
13,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-08-28
14,179,3.09,0.79,0.3435,3.22,3.09,3.22,3220.0,3.22,1.56,2.27,2.17,3.16,3.8,2.54,2.69,2.81,2.88,2.59,2.68,2.78,2.91,UPTREND,DOWNTREND,DOWNTREND,62.7514,-0.0652,0.0528,HIGH,227.1273,37.2175,-13.6842,882300.0,589200.0,442600.0,2102627.0,1404172.67,1054974.5,Black Marubozu,None,None,0.1319,0.3612,0.3435,3220.0,3220.0,3220.0,3220.0,-17710.0,0.02,-0.5,154.5,0.0,1.4,0.0,2019-09-30
15,185,2.4,-0.06,-0.0244,2.47,2.4,2.47,0.0,3.22,2.17,2.38,2.27,2.56,3.16,2.58,2.63,2.77,2.86,2.56,2.63,2.73,2.86,SIDEWAYS,SIDEWAYS,DOWNTREND,42.7257,-0.0176,0.0488,NEUTRAL,-69.8382,14.0805,-100.0,21700.0,28066.67,458250.0,54680.0,70274.67,1093867.5,Black Marubozu,None,None,-0.1209,-0.04,-0.04,0.0,0.0,3220.0,3220.0,3290.0,0.06,5.0,40.0,0.0,1.21,0.0,2019-12-10
16,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-08-29
17,182,2.57,-0.21,-0.0755,2.57,2.57,2.57,0.0,3.22,2.17,2.54,2.27,2.79,3.16,2.59,2.69,2.79,2.87,2.63,2.67,2.76,2.89,UPTREND,DOWNTREND,SIDEWAYS,48.2723,-0.0096,0.0684,HIGH,-2.4563,46.3158,-68.4211,23400.0,600533.33,452600.0,58518.0,1432644.0,1079939.0,White Marubozu,None,None,-0.0586,-0.0755,-0.0755,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,128.5,0.0,1.17,0.0,2019-11-06
18,185,2.4,-0.06,-0.0244,2.47,2.4,2.47,0.0,3.22,2.17,2.38,2.27,2.56,3.16,2.58,2.63,2.77,2.86,2.56,2.63,2.73,2.86,SIDEWAYS,SIDEWAYS,DOWNTREND,42.7257,-0.0176,0.0488,NEUTRAL,-69.8382,14.0805,-100.0,21700.0,28066.67,458250.0,54680.0,70274.67,1093867.5,Black Marubozu,None,None,-0.1209,-0.04,-0.04,0.0,0.0,3220.0,3220.0,3290.0,0.06,5.0,40.0,0.0,1.21,0.0,2019-12-12
19,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-04
20,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-09
21,181,2.79,0.31,0.125,2.5,2.5,2.79,0.0,3.22,2.17,2.42,2.17,3.16,3.8,2.51,2.66,2.8,2.88,2.58,2.66,2.76,2.9,UPTREND,DOWNTREND,DOWNTREND,54.4095,-0.0447,0.0686,HIGH,92.4586,32.9825,-45.2632,898100.0,601800.0,452100.0,2141844.0,1435552.0,1078464.5,White Marubozu,None,None,0.022000000000000002,-0.0971,-0.0971,3220.0,3220.0,3220.0,3220.0,-17710.0,0.02,-0.5,139.5,0.0,1.27,0.0,2019-10-18
22,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-17
23,178,2.71,0.01,0.0037,2.71,2.71,2.71,0.0,3.1,1.56,2.48,2.17,2.93,3.1,2.62,2.73,2.82,2.89,2.61,2.71,2.8,2.93,DOWNTREND,DOWNTREND,SIDEWAYS,53.4848,-0.0728,0.0346,NEUTRAL,37.0656,89.4977,0.0,12800.0,9466.67,7900.0,33181.0,24547.33,20722.0,White Marubozu,None,Three White Soldiers,-0.0073,0.0037,0.0037,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,135.5,0.0,1.23,0.0,2019-08-15
24,182,2.57,0.01,0.0039,2.57,2.57,2.57,0.0,3.22,2.17,2.54,2.27,2.78,3.16,2.59,2.67,2.78,2.87,2.62,2.66,2.75,2.88,UPTREND,SIDEWAYS,DOWNTREND,48.3131,-0.0047,0.0595,HIGH,-6.4248,31.2281,-68.4211,26900.0,600866.67,454600.0,67533.0,1433237.33,1085080.0,White Marubozu,None,Three White Soldiers,-0.0586,-0.0755,0.0039,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,128.5,0.0,1.17,0.0,2019-11-13
25,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-13
26,183,2.5,-0.06,-0.0234,2.56,2.5,2.56,0.0,3.22,2.17,2.48,2.27,2.57,3.16,2.6,2.65,2.78,2.87,2.6,2.65,2.74,2.88,UPTREND,SIDEWAYS,DOWNTREND,46.1208,-0.006,0.0547,HIGH,-33.0048,27.9481,-78.2609,14300.0,22266.67,455400.0,36621.0,55976.0,1087216.5,Black Marubozu,None,None,-0.0842,-0.1007,-0.0272,0.0,3220.0,3220.0,3220.0,3290.0,0.06,5.0,41.67,0.0,1.26,0.0,2019-11-26
27,185,2.58,-0.02,-0.0077,2.65,2.39,2.65,0.0,3.22,2.17,2.4,2.27,2.62,3.16,2.58,2.62,2.76,2.86,2.57,2.63,2.72,2.86,DOWNTREND,SIDEWAYS,DOWNTREND,50.0064,-0.0213,0.0515,HIGH,-15.4416,0.0,-52.5,36000.0,26600.0,29500.0,89264.0,66254.0,73362.0,Hanging Man,None,None,-0.0549,0.032,0.075,-2460.0,-2460.0,760.0,760.0,16030.0,0.06,5.0,43.0,0.0,1.3,0.0,2019-12-17
28,182,2.78,0.0,0.0,2.77,2.77,2.79,0.0,3.22,2.17,2.48,2.27,2.79,3.16,2.58,2.7,2.8,2.87,2.64,2.68,2.76,2.89,UPTREND,DOWNTREND,SIDEWAYS,54.138000000000005,-0.0158,0.0623,HIGH,88.3997,54.0351,-46.3158,23000.0,600266.67,452400.0,57460.0,1431952.67,1079418.5,None,None,None,0.0183,-0.1003,-0.0036,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,139.0,0.0,1.26,0.0,2019-10-29
29,179,3.09,0.79,0.3435,3.22,3.09,3.22,3220.0,3.22,1.56,2.27,2.17,3.16,3.8,2.54,2.69,2.81,2.88,2.59,2.68,2.78,2.91,UPTREND,DOWNTREND,DOWNTREND,62.7514,-0.0652,0.0528,HIGH,227.1273,37.2175,-13.6842,882300.0,589200.0,442600.0,2102627.0,1404172.67,1054974.5,Black Marubozu,None,None,0.1319,0.3612,0.3435,3220.0,3220.0,3220.0,3220.0,-17710.0,0.02,-0.5,154.5,0.0,1.4,0.0,2019-09-26
30,182,2.78,0.0,0.0,2.77,2.77,2.79,0.0,3.22,2.17,2.48,2.27,2.79,3.16,2.58,2.7,2.8,2.87,2.64,2.68,2.76,2.89,UPTREND,DOWNTREND,SIDEWAYS,54.138000000000005,-0.0158,0.0623,HIGH,88.3997,54.0351,-46.3158,23000.0,600266.67,452400.0,57460.0,1431952.67,1079418.5,None,None,None,0.0183,-0.1003,-0.0036,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,139.0,0.0,1.26,0.0,2019-10-30
31,181,3.09,0.79,0.3435,3.22,3.09,3.22,3220.0,3.22,1.56,2.27,2.17,3.16,3.8,2.54,2.69,2.81,2.88,2.59,2.68,2.78,2.91,UPTREND,DOWNTREND,DOWNTREND,62.7514,-0.0652,0.0528,HIGH,227.1273,37.2175,-13.6842,882300.0,589200.0,442600.0,2102627.0,1404172.67,1054974.5,Black Marubozu,None,None,0.1319,0.3612,0.3435,3220.0,3220.0,3220.0,3220.0,-17710.0,0.02,-0.5,154.5,0.0,1.4,0.0,2019-10-10
32,183,2.5,-0.06,-0.0234,2.56,2.5,2.56,0.0,3.22,2.17,2.48,2.27,2.57,3.16,2.6,2.65,2.78,2.87,2.6,2.65,2.74,2.88,UPTREND,SIDEWAYS,DOWNTREND,46.1208,-0.006,0.0547,HIGH,-33.0048,27.9481,-78.2609,14300.0,22266.67,455400.0,36621.0,55976.0,1087216.5,Black Marubozu,None,None,-0.0842,-0.1007,-0.0272,0.0,3220.0,3220.0,3220.0,3290.0,0.06,5.0,41.67,0.0,1.26,0.0,2019-11-22
33,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-10
34,182,2.78,0.0,0.0,2.77,2.77,2.79,0.0,3.22,2.17,2.48,2.27,2.79,3.16,2.58,2.7,2.8,2.87,2.64,2.68,2.76,2.89,UPTREND,DOWNTREND,SIDEWAYS,54.138000000000005,-0.0158,0.0623,HIGH,88.3997,54.0351,-46.3158,23000.0,600266.67,452400.0,57460.0,1431952.67,1079418.5,None,None,None,0.0183,-0.1003,-0.0036,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,139.0,0.0,1.26,0.0,2019-11-04
35,180,3.09,0.79,0.3435,3.22,3.09,3.22,3220.0,3.22,1.56,2.27,2.17,3.16,3.8,2.54,2.69,2.81,2.88,2.59,2.68,2.78,2.91,UPTREND,DOWNTREND,DOWNTREND,62.7514,-0.0652,0.0528,HIGH,227.1273,37.2175,-13.6842,882300.0,589200.0,442600.0,2102627.0,1404172.67,1054974.5,Black Marubozu,None,None,0.1319,0.3612,0.3435,3220.0,3220.0,3220.0,3220.0,-17710.0,0.02,-0.5,154.5,0.0,1.4,0.0,2019-10-07
36,182,2.57,0.01,0.0039,2.57,2.57,2.57,0.0,3.22,2.17,2.54,2.27,2.78,3.16,2.59,2.67,2.78,2.87,2.62,2.66,2.75,2.88,UPTREND,SIDEWAYS,DOWNTREND,48.3131,-0.0047,0.0595,HIGH,-6.4248,31.2281,-68.4211,26900.0,600866.67,454600.0,67533.0,1433237.33,1085080.0,White Marubozu,None,Three White Soldiers,-0.0586,-0.0755,0.0039,0.0,3220.0,3220.0,3220.0,3290.0,0.06,5.0,42.83,0.0,1.3,0.0,2019-11-15
37,182,2.57,0.01,0.0039,2.57,2.57,2.57,0.0,3.22,2.17,2.54,2.27,2.78,3.16,2.59,2.67,2.78,2.87,2.62,2.66,2.75,2.88,UPTREND,SIDEWAYS,DOWNTREND,48.3131,-0.0047,0.0595,HIGH,-6.4248,31.2281,-68.4211,26900.0,600866.67,454600.0,67533.0,1433237.33,1085080.0,White Marubozu,None,Three White Soldiers,-0.0586,-0.0755,0.0039,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,128.5,0.0,1.17,0.0,2019-11-14
38,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-03
39,181,2.53,-0.56,-0.1812,2.38,2.35,2.54,0.0,3.22,1.56,2.27,2.17,3.16,3.8,2.52,2.68,2.81,2.88,2.58,2.67,2.77,2.91,UPTREND,DOWNTREND,DOWNTREND,48.3949,-0.0587,0.0807,HIGH,-20.5106,40.1675,-72.6316,897100.0,599333.33,450200.0,2139293.0,1429283.33,1073782.5,White Long Day,None,None,-0.0733,-0.1812,-0.1812,3220.0,3220.0,3220.0,3220.0,-17710.0,0.02,-0.5,126.5,0.0,1.15,0.0,2019-10-15
40,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-11
41,182,2.78,0.0,0.0,2.77,2.77,2.79,0.0,3.22,2.17,2.48,2.27,2.79,3.16,2.58,2.7,2.8,2.87,2.64,2.68,2.76,2.89,UPTREND,DOWNTREND,SIDEWAYS,54.138000000000005,-0.0158,0.0623,HIGH,88.3997,54.0351,-46.3158,23000.0,600266.67,452400.0,57460.0,1431952.67,1079418.5,None,None,None,0.0183,-0.1003,-0.0036,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,139.0,0.0,1.26,0.0,2019-10-31
42,182,2.78,0.0,0.0,2.77,2.77,2.79,0.0,3.22,2.17,2.48,2.27,2.79,3.16,2.58,2.7,2.8,2.87,2.64,2.68,2.76,2.89,UPTREND,DOWNTREND,SIDEWAYS,54.138000000000005,-0.0158,0.0623,HIGH,88.3997,54.0351,-46.3158,23000.0,600266.67,452400.0,57460.0,1431952.67,1079418.5,None,None,None,0.0183,-0.1003,-0.0036,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,139.0,0.0,1.26,0.0,2019-10-25
43,179,2.38,-0.33,-0.1218,2.38,2.38,2.38,0.0,3.09,1.56,2.17,1.56,2.71,2.93,2.59,2.72,2.82,2.88,2.59,2.69,2.79,2.92,DOWNTREND,DOWNTREND,SIDEWAYS,40.8701,-0.0695,0.0465,NEUTRAL,-82.0764,79.6296,-61.1111,881800.0,589266.67,442700.0,2101377.0,1404409.33,1055448.0,White Marubozu,None,Three White Soldiers,-0.1282,-0.1185,-0.1185,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,119.0,0.0,1.08,0.0,2019-08-22
44,182,2.56,-0.01,-0.0039,2.56,2.56,2.56,0.0,3.22,2.17,2.54,2.27,2.79,3.16,2.59,2.68,2.79,2.87,2.62,2.67,2.76,2.89,UPTREND,DOWNTREND,DOWNTREND,48.0055,-0.0062,0.064,HIGH,-8.7059,38.5965,-69.4737,25300.0,601933.33,453750.0,63538.0,1436198.67,1082891.0,White Marubozu,None,None,-0.0623,-0.0791,-0.0791,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,128.0,0.0,1.16,0.0,2019-11-08
45,182,2.78,0.0,0.0,2.77,2.77,2.79,0.0,3.22,2.17,2.48,2.27,2.79,3.16,2.58,2.7,2.8,2.87,2.64,2.68,2.76,2.89,UPTREND,DOWNTREND,SIDEWAYS,54.138000000000005,-0.0158,0.0623,HIGH,88.3997,54.0351,-46.3158,23000.0,600266.67,452400.0,57460.0,1431952.67,1079418.5,None,None,None,0.0183,-0.1003,-0.0036,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,139.0,0.0,1.26,0.0,2019-10-24
46,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-18
47,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-02
48,179,2.27,-0.11,-0.0462,2.27,2.27,2.27,0.0,3.0,1.56,2.17,1.56,2.71,2.93,2.56,2.7,2.81,2.88,2.56,2.68,2.78,2.91,DOWNTREND,DOWNTREND,DOWNTREND,37.6798,-0.0706,0.0487,NEUTRAL,-114.1224,52.4691,-81.4815,881800.0,589066.67,442550.0,2101360.0,1403843.33,1054987.5,White Marubozu,None,Three White Soldiers,-0.1685,-0.1593,-0.0462,0.0,0.0,0.0,0.0,-20930.0,0.02,-0.5,113.5,0.0,1.03,0.0,2019-09-12
49,182,2.57,-0.21,-0.0755,2.57,2.57,2.57,0.0,3.22,2.17,2.54,2.27,2.79,3.16,2.59,2.69,2.79,2.87,2.63,2.67,2.76,2.89,UPTREND,DOWNTREND,SIDEWAYS,48.2723,-0.0096,0.0684,HIGH,-2.4563,46.3158,-68.4211,23400.0,600533.33,452600.0,58518.0,1432644.0,1079939.0,White Marubozu,None,None,-0.0586,-0.0755,-0.0755,0.0,3220.0,3220.0,3220.0,3290.0,0.02,-0.5,128.5,0.0,1.17,0.0,2019-11-07
